began,MONSOON,OTHER,RAIN,SNOWMELT,TROPICAL STORM
1985,,12.0,57.0,,
1986,3.0,7.0,37.0,,
1987,,5.0,38.0,2.0,
1988,6.0,12.0,93.0,,
1989,9.0,25.0,77.0,,
1990,7.0,20.0,78.0,,
1991,11.0,18.0,93.0,,
1992,11.0,22.0,75.0,1.0,
1993,7.0,9.0,79.0,4.0,
1994,13.0,27.0,66.0,1.0,
1995,13.0,20.0,82.0,,
1996,8.0,12.0,77.0,3.0,
1997,18.0,23.0,117.0,1.0,
1998,3.0,32.0,143.0,5.0,
1999,4.0,16.0,74.0,3.0,
2000,14.0,18.0,68.0,2.0,
2001,9.0,18.0,141.0,4.0,
2002,15.0,19.0,218.0,8.0,
2003,14.0,18.0,256.0,9.0,
2004,13.0,27.0,151.0,3.0,
2005,21.0,18.0,128.0,4.0,
2006,38.0,20.0,166.0,8.0,
2007,29.0,29.0,180.0,4.0,
2008,14.0,17.0,132.0,2.0,15.0
2009,3.0,11.0,130.0,2.0,10.0
2010,16.0,5.0,146.0,2.0,8.0
2011,22.0,2.0,91.0,1.0,8.0
2012,14.0,3.0,95.0,2.0,10.0
2013,15.0,1.0,74.0,1.0,11.0
2014,19.0,4.0,72.0,,7.0
2015,10.0,1.0,79.0,2.0,10.0
2016,15.0,2.0,87.0,1.0,8.0
2017,10.0,3.0,94.0,1.0,15.0
2018,17.0,6.0,117.0,,19.0
2019,10.0,4.0,67.0,,4.0
